function,smellKey,smellId
"private ResponseProtocollaDocumento avviaProtocollazione_Doqui(List<CnmRAllegatoVerbale> cnmRAllegatoVerbaleList, CnmTUser cnmTUser){
    CnmRAllegatoVerbale cnmRAllegatoVerbale = Iterables.tryFind(cnmRAllegatoVerbaleList, UtilsTipoAllegato.findAllegatoInCnmRAllegatoVerbaleByTipoAllegato(TipoAllegato.RAPPORTO_TRASMISSIONE)).orNull();
    if (cnmRAllegatoVerbale == null)
        throw new RuntimeException(""verbale di trasmissione non trovato"");
    ResponseProtocollaDocumento responseProtocollaDocumento = null;
    Timestamp now = utilsDate.asTimeStamp(LocalDateTime.now());
    List<CnmTAllegato> cnmTAllegatoList = new ArrayList<>();
    CnmTAllegato cnmTAllegato = cnmRAllegatoVerbale.getCnmTAllegato();
    if (cnmTAllegato.getCnmDStatoAllegato().getIdStatoAllegato() != Constants.STATO_ALLEGATO_PROTOCOLLATO && cnmTAllegato.getCnmDStatoAllegato().getIdStatoAllegato() != Constants.STATO_ALLEGATO_DA_PROTOCOLLARE_IN_ISTANTE_SUCCESSIVO && cnmTAllegato.getCnmDStatoAllegato().getIdStatoAllegato() != Constants.STATO_ALLEGATO_PROTOCOLLATO_IN_ALTRA_STRUTTURA)
        throw new RuntimeException(""Rapporto di trasmissione non e' nello stato corretto"");
    CnmTVerbale cnmTVerbale = cnmRAllegatoVerbale.getCnmTVerbale();
    Map<String, String> protocolliGestiti = new HashMap<>();
    String operationToTrace = null;
    if (cnmTAllegato.getCnmDStatoAllegato().getIdStatoAllegato() == Constants.STATO_ALLEGATO_PROTOCOLLATO_IN_ALTRA_STRUTTURA || cnmTAllegato.getCnmDStatoAllegato().getIdStatoAllegato() == Constants.STATO_ALLEGATO_PROTOCOLLATO) {
        responseProtocollaDocumento = gestisciDocumentoProtocollato(cnmTAllegato, cnmTVerbale, protocolliGestiti);
        tracciaSuCsiLogAudit(protocolliGestiti, cnmTAllegato, responseProtocollaDocumento != null ? responseProtocollaDocumento.getObjectIdDocumentoToTraceList() : null);
        if (responseProtocollaDocumento == null) {
            responseProtocollaDocumento = new ResponseProtocollaDocumento();
        }
        responseProtocollaDocumento.setProtocollo(cnmTAllegato.getNumeroProtocollo());
        for (CnmRAllegatoVerbale cnmRAllegatoVerbaleTs : cnmRAllegatoVerbaleList) {
            CnmTAllegato cnmTAllegatoTs = cnmRAllegatoVerbaleTs.getCnmTAllegato();
            if (cnmTAllegatoTs.getCnmDStatoAllegato().getIdStatoAllegato() == Constants.STATO_ALLEGATO_DA_PROTOCOLLARE_IN_ISTANTE_SUCCESSIVO) {
                ResponseProtocollaDocumento responseProtocollaDocumentoAllegato = doquiServiceFacade.protocollaDocumentoFisico(utilsDoqui.createOrGetfolder(cnmTVerbale), null, cnmTAllegatoTs.getNomeFile(), utilsDoqui.createIdEntitaFruitore(cnmTVerbale, cnmTAllegatoTs.getCnmDTipoAllegato()), false, false, utilsDoqui.getSoggettoActa(cnmTVerbale), utilsDoqui.getRootActa(cnmTVerbale), cnmTAllegatoTs.getCnmDTipoAllegato().getIdTipoAllegato(), DoquiServiceFacade.TIPOLOGIA_DOC_ACTA_DOC_INGRESSO_SENZA_ALLEGATI, null, cnmTAllegatoTs.getIdIndex());
                cnmTAllegatoTs.setIdActa(responseProtocollaDocumentoAllegato.getIdDocumento());
                try {
                    doquiServiceFacade.eliminaDocumentoIndex(cnmTAllegatoTs.getIdIndex());
                    utilsTraceCsiLogAuditService.traceCsiLogAudit(TraceOperation.SPOSTAMENTO_ALLEGATO_DA_INDEX.getOperation(), cnmTAllegatoTs.getClass().getAnnotation(Table.class).name(), ""id_allegato="" + cnmTAllegatoTs.getIdAllegato(), Thread.currentThread().getStackTrace()[1].getMethodName(), cnmTAllegatoTs.getCnmDTipoAllegato().getDescTipoAllegato());
                } catch (Exception e) {
                    logger.error(""Non riesco ad eliminare l'allegato con idIndex :: "" + cnmTAllegatoTs.getIdIndex());
                }
                cnmTAllegatoTs.setIdIndex(null);
                cnmTAllegatoTs.setNumeroProtocollo(responseProtocollaDocumentoAllegato.getProtocollo());
                cnmTAllegatoTs.setDataOraProtocollo(now);
                operationToTrace = cnmTAllegatoTs.isFlagDocumentoPregresso() ? TraceOperation.INSERIMENTO_ALLEGATO_PREGRESSO.getOperation() : TraceOperation.INSERIMENTO_ALLEGATO.getOperation();
                utilsTraceCsiLogAuditService.traceCsiLogAudit(operationToTrace, Constants.OGGETTO_ACTA, ""objectIdDocumento="" + responseProtocollaDocumentoAllegato.getObjectIdDocumento(), Thread.currentThread().getStackTrace()[1].getMethodName(), cnmTAllegatoTs.getCnmDTipoAllegato().getDescTipoAllegato());
                if (responseProtocollaDocumentoAllegato.getIdFolder() != null) {
                    operationToTrace = cnmTVerbale.getCnmDStatoPregresso().getIdStatoPregresso() > 1 ? TraceOperation.INSERIMENTO_FASCICOLO_PREGRESSO.getOperation() : TraceOperation.INSERIMENTO_FASCICOLO.getOperation();
                    utilsTraceCsiLogAuditService.traceCsiLogAudit(operationToTrace, Constants.OGGETTO_ACTA, ""idFolder="" + responseProtocollaDocumentoAllegato.getIdFolder(), Thread.currentThread().getStackTrace()[1].getMethodName(), ""creaFascicoloSuActa"");
                }
            } else {
                if (!protocolliGestiti.containsKey(cnmTAllegatoTs.getNumeroProtocollo())) {
                    logger.debug(""trovato un nuovo protocollo:"" + cnmTAllegatoTs.getNumeroProtocollo() + "" diverso da quello del rapporto di trasmissione: "" + responseProtocollaDocumento.getProtocollo());
                    ResponseProtocollaDocumento responseProtocollaDocumentoAltroProt = gestisciDocumentoProtocollato(cnmTAllegatoTs, cnmTVerbale, protocolliGestiti);
                    tracciaSuCsiLogAudit(protocolliGestiti, cnmTAllegatoTs, responseProtocollaDocumentoAltroProt != null ? responseProtocollaDocumentoAltroProt.getObjectIdDocumentoToTraceList() : null);
                }
            }
            cnmTAllegatoTs.setCnmDStatoAllegato(cnmDStatoAllegatoRepository.findOne(Constants.STATO_ALLEGATO_PROTOCOLLATO));
            cnmTAllegatoTs.setObjectidSpostamentoActa(null);
            cnmTAllegatoTs.setDataOraUpdate(now);
            cnmTAllegatoTs.setCnmTUser1(cnmTUser);
            cnmTAllegatoList.add(cnmTAllegatoTs);
        }
        List<CnmTAllegato> allegatiRelata = cnmTAllegatoRepository.findAllegatiRelataGiaProtocollati(cnmTVerbale.getIdVerbale());
        for (CnmTAllegato cnmTAllegatoTs : allegatiRelata) {
            if (cnmTAllegatoTs.getCnmDStatoAllegato().getIdStatoAllegato() == Constants.STATO_ALLEGATO_DA_PROTOCOLLARE_IN_ISTANTE_SUCCESSIVO) {
                ResponseProtocollaDocumento responseProtocollaDocumentoAllegato = doquiServiceFacade.protocollaDocumentoFisico(utilsDoqui.createOrGetfolder(cnmTVerbale), null, cnmTAllegatoTs.getNomeFile(), utilsDoqui.createIdEntitaFruitore(cnmTVerbale, cnmTAllegatoTs.getCnmDTipoAllegato()), false, false, utilsDoqui.getSoggettoActa(cnmTVerbale), utilsDoqui.getRootActa(cnmTVerbale), cnmTAllegatoTs.getCnmDTipoAllegato().getIdTipoAllegato(), DoquiServiceFacade.TIPOLOGIA_DOC_ACTA_DOC_INGRESSO_SENZA_ALLEGATI, null, cnmTAllegatoTs.getIdIndex());
                cnmTAllegatoTs.setIdActa(responseProtocollaDocumentoAllegato.getIdDocumento());
                try {
                    doquiServiceFacade.eliminaDocumentoIndex(cnmTAllegatoTs.getIdIndex());
                    utilsTraceCsiLogAuditService.traceCsiLogAudit(TraceOperation.SPOSTAMENTO_ALLEGATO_DA_INDEX.getOperation(), cnmTAllegatoTs.getClass().getAnnotation(Table.class).name(), ""id_allegato="" + cnmTAllegatoTs.getIdAllegato(), Thread.currentThread().getStackTrace()[1].getMethodName(), cnmTAllegatoTs.getCnmDTipoAllegato().getDescTipoAllegato());
                } catch (Exception e) {
                    logger.error(""Non riesco ad eliminare l'allegato con idIndex :: "" + cnmTAllegatoTs.getIdIndex());
                }
                cnmTAllegatoTs.setIdIndex(null);
                cnmTAllegatoTs.setNumeroProtocollo(responseProtocollaDocumentoAllegato.getProtocollo());
                cnmTAllegatoTs.setDataOraProtocollo(now);
                operationToTrace = cnmTAllegatoTs.isFlagDocumentoPregresso() ? TraceOperation.INSERIMENTO_ALLEGATO_PREGRESSO.getOperation() : TraceOperation.INSERIMENTO_ALLEGATO.getOperation();
                utilsTraceCsiLogAuditService.traceCsiLogAudit(operationToTrace, Constants.OGGETTO_ACTA, ""objectIdDocumento="" + responseProtocollaDocumentoAllegato.getObjectIdDocumento(), Thread.currentThread().getStackTrace()[1].getMethodName(), cnmTAllegatoTs.getCnmDTipoAllegato().getDescTipoAllegato());
                if (responseProtocollaDocumentoAllegato.getIdFolder() != null) {
                    operationToTrace = cnmTVerbale.getCnmDStatoPregresso().getIdStatoPregresso() > 1 ? TraceOperation.INSERIMENTO_FASCICOLO_PREGRESSO.getOperation() : TraceOperation.INSERIMENTO_FASCICOLO.getOperation();
                    utilsTraceCsiLogAuditService.traceCsiLogAudit(operationToTrace, Constants.OGGETTO_ACTA, ""idFolder="" + responseProtocollaDocumentoAllegato.getIdFolder(), Thread.currentThread().getStackTrace()[1].getMethodName(), ""creaFascicoloSuActa"");
                }
            } else {
                if (!protocolliGestiti.containsKey(cnmTAllegatoTs.getNumeroProtocollo())) {
                    logger.debug(""trovato un nuovo protocollo:"" + cnmTAllegatoTs.getNumeroProtocollo() + "" diverso da quello del rapporto di trasmissione: "" + responseProtocollaDocumento.getProtocollo());
                    ResponseProtocollaDocumento responseProtocollaDocumentoAltroProt = gestisciDocumentoProtocollato(cnmTAllegatoTs, cnmTVerbale, protocolliGestiti);
                    tracciaSuCsiLogAudit(protocolliGestiti, cnmTAllegatoTs, responseProtocollaDocumentoAltroProt != null ? responseProtocollaDocumentoAltroProt.getObjectIdDocumentoToTraceList() : null);
                }
            }
            cnmTAllegatoTs.setCnmDStatoAllegato(cnmDStatoAllegatoRepository.findOne(Constants.STATO_ALLEGATO_PROTOCOLLATO));
            cnmTAllegatoTs.setObjectidSpostamentoActa(null);
            cnmTAllegatoTs.setDataOraUpdate(now);
            cnmTAllegatoTs.setCnmTUser1(cnmTUser);
            cnmTAllegatoList.add(cnmTAllegatoTs);
        }
        CnmDStatoAllegato cnmDStatoAllegato = cnmDStatoAllegatoRepository.findOne(Constants.STATO_ALLEGATO_PROTOCOLLATO);
        allegatiRelata = cnmTAllegatoRepository.findAllegatiRelataDaProtocollare(cnmTVerbale.getIdVerbale());
        for (CnmTAllegato cnmTAllegatoTs : allegatiRelata) {
            ResponseProtocollaDocumento responseProtocollaDocumentoAllegato = doquiServiceFacade.protocollaDocumentoFisico(utilsDoqui.createOrGetfolder(cnmTVerbale), null, cnmTAllegatoTs.getNomeFile(), utilsDoqui.createIdEntitaFruitore(cnmTVerbale, cnmTAllegatoTs.getCnmDTipoAllegato()), false, false, utilsDoqui.getSoggettoActa(cnmTVerbale), utilsDoqui.getRootActa(cnmTVerbale), cnmTAllegatoTs.getCnmDTipoAllegato().getIdTipoAllegato(), DoquiServiceFacade.TIPOLOGIA_DOC_ACTA_DOC_INGRESSO_SENZA_ALLEGATI, null, cnmTAllegatoTs.getIdIndex());
            cnmTAllegatoTs.setIdActa(responseProtocollaDocumentoAllegato.getIdDocumento());
            try {
                doquiServiceFacade.eliminaDocumentoIndex(cnmTAllegatoTs.getIdIndex());
                utilsTraceCsiLogAuditService.traceCsiLogAudit(TraceOperation.SPOSTAMENTO_ALLEGATO_DA_INDEX.getOperation(), cnmTAllegatoTs.getClass().getAnnotation(Table.class).name(), ""id_allegato="" + cnmTAllegatoTs.getIdAllegato(), Thread.currentThread().getStackTrace()[1].getMethodName(), cnmTAllegatoTs.getCnmDTipoAllegato().getDescTipoAllegato());
            } catch (Exception e) {
                logger.error(""Non riesco ad eliminare l'allegato con idIndex :: "" + cnmTAllegatoTs.getIdIndex());
            }
            cnmTAllegatoTs.setIdIndex(null);
            cnmTAllegatoTs.setNumeroProtocollo(responseProtocollaDocumentoAllegato.getProtocollo());
            cnmTAllegatoTs.setDataOraProtocollo(now);
            cnmTAllegatoTs.setCnmDStatoAllegato(cnmDStatoAllegato);
            cnmTAllegatoTs.setCnmTUser1(cnmTUser);
            cnmTAllegatoList.add(cnmTAllegatoTs);
            operationToTrace = cnmTAllegatoTs.isFlagDocumentoPregresso() ? TraceOperation.INSERIMENTO_ALLEGATO_PREGRESSO.getOperation() : TraceOperation.INSERIMENTO_ALLEGATO.getOperation();
            utilsTraceCsiLogAuditService.traceCsiLogAudit(operationToTrace, Constants.OGGETTO_ACTA, ""objectIdDocumento="" + responseProtocollaDocumentoAllegato.getObjectIdDocumento(), Thread.currentThread().getStackTrace()[1].getMethodName(), cnmTAllegatoTs.getCnmDTipoAllegato().getDescTipoAllegato());
            if (responseProtocollaDocumentoAllegato.getIdFolder() != null) {
                operationToTrace = cnmTVerbale.getCnmDStatoPregresso().getIdStatoPregresso() > 1 ? TraceOperation.INSERIMENTO_FASCICOLO_PREGRESSO.getOperation() : TraceOperation.INSERIMENTO_FASCICOLO.getOperation();
                utilsTraceCsiLogAuditService.traceCsiLogAudit(operationToTrace, Constants.OGGETTO_ACTA, ""idFolder="" + responseProtocollaDocumentoAllegato.getIdFolder(), Thread.currentThread().getStackTrace()[1].getMethodName(), ""creaFascicoloSuActa"");
            }
        }
    } else {
        ResponseArchiviaDocumento responseArchiviaDocumento = doquiServiceFacade.archiviaDocumentoFisico(null, cnmTAllegato.getNomeFile(), utilsDoqui.createOrGetfolder(cnmTVerbale), utilsDoqui.getRootActa(cnmTVerbale), 0, utilsDoqui.createIdEntitaFruitore(cnmTVerbale, cnmTAllegato.getCnmDTipoAllegato()), cnmTAllegato.getCnmDTipoAllegato().getIdTipoAllegato(), true, cnmTAllegato.getIdIndex(), utilsDoqui.getSoggettoActa(cnmTVerbale));
        responseProtocollaDocumento = new ResponseProtocollaDocumento();
        responseProtocollaDocumento.setIdDocumento(responseArchiviaDocumento.getIdDocumento());
        responseProtocollaDocumento.setIdFolder(responseArchiviaDocumento.getIdFolder());
        responseProtocollaDocumento.setObjectIdDocumento(responseArchiviaDocumento.getObjectIdDocumento());
        cnmTAllegato.setCnmDStatoAllegato(cnmDStatoAllegatoRepository.findOne(Constants.STATO_ALLEGATO_NON_PROTOCOLLARE));
        cnmTAllegato.setObjectidSpostamentoActa(null);
        cnmTAllegato.setIdActa(responseProtocollaDocumento.getIdDocumento());
        operationToTrace = cnmTAllegato.isFlagDocumentoPregresso() ? TraceOperation.INSERIMENTO_ALLEGATO_PREGRESSO.getOperation() : TraceOperation.INSERIMENTO_ALLEGATO.getOperation();
        utilsTraceCsiLogAuditService.traceCsiLogAudit(operationToTrace, Constants.OGGETTO_ACTA, ""objectIdDocumento="" + responseProtocollaDocumento.getObjectIdDocumento(), Thread.currentThread().getStackTrace()[1].getMethodName(), cnmTAllegato.getCnmDTipoAllegato().getDescTipoAllegato());
        if (responseProtocollaDocumento.getIdFolder() != null) {
            operationToTrace = cnmTVerbale.getCnmDStatoPregresso().getIdStatoPregresso() > 1 ? TraceOperation.INSERIMENTO_FASCICOLO_PREGRESSO.getOperation() : TraceOperation.INSERIMENTO_FASCICOLO.getOperation();
            utilsTraceCsiLogAuditService.traceCsiLogAudit(operationToTrace, Constants.OGGETTO_ACTA, ""idFolder="" + responseProtocollaDocumento.getIdFolder(), Thread.currentThread().getStackTrace()[1].getMethodName(), ""creaFascicoloSuActa"");
        }
        try {
            doquiServiceFacade.eliminaDocumentoIndex(cnmTAllegato.getIdIndex());
            utilsTraceCsiLogAuditService.traceCsiLogAudit(TraceOperation.SPOSTAMENTO_ALLEGATO_DA_INDEX.getOperation(), cnmTAllegato.getClass().getAnnotation(Table.class).name(), ""id_allegato="" + cnmTAllegato.getIdAllegato(), Thread.currentThread().getStackTrace()[1].getMethodName(), cnmTAllegato.getCnmDTipoAllegato().getDescTipoAllegato());
        } catch (Exception e) {
            logger.error(""Non riesco ad eliminare l'allegato con idIndex :: "" + cnmTAllegato.getIdIndex());
        }
        cnmTAllegato.setIdIndex(null);
        cnmTAllegato.setDataOraUpdate(now);
        CnmDStatoAllegato cnmDStatoAllegato = cnmDStatoAllegatoRepository.findOne(Constants.STATO_AVVIA_SPOSTAMENTO_ACTA);
        for (CnmRAllegatoVerbale cnmRAllegatoVerbaleT : cnmRAllegatoVerbaleList) {
            CnmTAllegato cnmTAllegatoT = cnmRAllegatoVerbaleT.getCnmTAllegato();
            boolean rapportoTrasmissione = cnmTAllegatoT.getCnmDTipoAllegato().getIdTipoAllegato() == TipoAllegato.RAPPORTO_TRASMISSIONE.getId();
            boolean statoDaProtocollareInAcquisizione = cnmTAllegatoT.getCnmDStatoAllegato().getIdStatoAllegato() == Constants.STATO_ALLEGATO_DA_PROTOCOLLARE_IN_ISTANTE_SUCCESSIVO;
            boolean statoProtocollatoInAltraStruttura = cnmTAllegatoT.getCnmDStatoAllegato().getIdStatoAllegato() == Constants.STATO_ALLEGATO_PROTOCOLLATO_IN_ALTRA_STRUTTURA;
            if (!rapportoTrasmissione && statoDaProtocollareInAcquisizione) {
                cnmTAllegatoT.setCnmDStatoAllegato(cnmDStatoAllegato);
                cnmTAllegatoT.setCnmTUser1(cnmTUser);
                cnmTAllegatoList.add(cnmTAllegatoT);
            } else if (!rapportoTrasmissione && statoProtocollatoInAltraStruttura) {
                ResponseProtocollaDocumento responseProtocollaDocumentoGiaProt = gestisciDocumentoProtocollato(cnmTAllegatoT, cnmTVerbale, protocolliGestiti);
                tracciaSuCsiLogAudit(protocolliGestiti, cnmTAllegatoT, responseProtocollaDocumentoGiaProt != null ? responseProtocollaDocumentoGiaProt.getObjectIdDocumentoToTraceList() : null);
                cnmTAllegatoT.setCnmDStatoAllegato(cnmDStatoAllegatoRepository.findOne(Constants.STATO_ALLEGATO_PROTOCOLLATO));
                cnmTAllegatoT.setObjectidSpostamentoActa(null);
                cnmTAllegatoT.setCnmTUser1(cnmTUser);
                cnmTAllegatoList.add(cnmTAllegatoT);
            }
        }
        List<CnmTAllegato> allegatiRelata = cnmTAllegatoRepository.findAllegatiRelataDaProtocollare(cnmTVerbale.getIdVerbale());
        for (CnmTAllegato cnmTAllegatoT : allegatiRelata) {
            cnmTAllegatoT.setCnmDStatoAllegato(cnmDStatoAllegato);
            cnmTAllegatoT.setCnmTUser1(cnmTUser);
            cnmTAllegatoList.add(cnmTAllegatoT);
        }
        cnmTAllegatoList.add(cnmTAllegato);
    }
    cnmTAllegatoRepository.save(cnmTAllegatoList);
    return responseProtocollaDocumento;
}",java:S100,
" static DescribedPredicate<JavaAnnotation<?>> DomainObject_nature_MIXIN(){
    return DomainObject_nature(Nature.MIXIN);
}",java:S100,
"@Nullable
public static Geometry ST_MakePolygon(Geometry shell, Geometry hole0, Geometry hole1, Geometry hole2, Geometry hole3, Geometry hole4, Geometry hole5){
    return makePolygon(shell, hole0, hole1, hole2, hole3, hole4, hole5);
}",java:S100,
"@Nullable
public static Geometry ST_Force3D(Geometry geometry){
    Function<Coordinate, Coordinate> transform = coordinate -> new Coordinate(coordinate.getX(), coordinate.getY(), Double.isNaN(coordinate.getZ()) ? 0d : coordinate.getZ());
    CoordinateTransformer transformer = new CoordinateTransformer(transform);
    return transformer.transform(geometry);
}",java:S100,
"public static SubstitutionMatrix<NucleotideCompound> getNuc4_2(){
    return getNucleotideMatrix(""nuc-4_2"");
}",java:S100,
"public static Geometry ST_RemovePoint(Geometry linestring, int index){
    if (!(linestring instanceof LineString)) {
        throw new RuntimeException(""Only supports LINESTRING."");
    }
    return new GeometryEditor().edit(linestring, new RemovePointOperation(index));
}",java:S100,
" List<AnnotationTriplet> getByAnnotation_OrderBy_OrderAscending(String annotation){
    List<AnnotationTriplet> result = new ArrayList<>();
    for (AnnotationTriplet a : list) {
        if (a.getAnnotation().equals(annotation)) {
            result.add(a);
        }
    }
    Collections.sort(result);
    return result;
}",java:S100,
"public static boolean CONST(final boolean v){
    return v;
}",java:S100,
"public static ArchRule every_jpa_Entity_must_have_a_version_field(){
    return everyJpa_Entity_must_have_a_field_named_and_annotated(""version"", Version.class);
}",java:S100,
"private String _get_date(S sequence){
    Date sysdate = Calendar.getInstance().getTime();
    String default_date = new SimpleDateFormat(""dd-MMM-yyyy"").format(sysdate);
    return default_date;
}",java:S100,
"@Nullable
public static Geometry ST_LineFromWKB(ByteString wkb){
    Geometry geometry = ST_GeomFromWKB(wkb);
    return geometry instanceof LineString ? geometry : null;
}",java:S100,
"public static GotoStatement continue_(LabelTarget labelTarget){
    return new GotoStatement(GotoExpressionKind.Continue, null, null);
}",java:S100,
"@Nullable
public static Geometry ST_LocateAlong(Geometry geom, BigDecimal segmentLengthFraction, BigDecimal offsetDistance){
    List<Coordinate> coordinates = new ArrayList<>();
    for (int i = 0; i < geom.getNumGeometries(); i++) {
        Geometry geometry = geom.getGeometryN(i);
        Coordinate[] geometryCoordinates = geometry.getCoordinates();
        for (int j = 0; j < geometryCoordinates.length - 1; j++) {
            Coordinate c1 = geometryCoordinates[j];
            Coordinate c2 = geometryCoordinates[j + 1];
            LineSegment lineSegment = new LineSegment(c1, c2);
            coordinates.add(lineSegment.pointAlongOffset(segmentLengthFraction.doubleValue(), offsetDistance.doubleValue()));
        }
    }
    Coordinate[] coordinateArray = coordinates.toArray(new Coordinate[0]);
    return GEOMETRY_FACTORY.createMultiPointFromCoords(coordinateArray);
}",java:S100,
"@Nullable
public static String ST_AsGeoJSON(Geometry geometry){
    return asGeoJson(geometry);
}",java:S100,
"public void setCp_Descr_count(final int count){
    cp_Descr_count = count;
}",java:S100,
" static DescribedPredicate<JavaAnnotation<?>> PersistenceCapable_with_DATASTORE_identityType(){
    return new DescribedPredicate<>(""@PersistenceCapable(identityType=DATASTORE)"") {

        @Override
        public boolean test(final JavaAnnotation<?> javaAnnotation) {
            if (!javaAnnotation.getRawType().isAssignableTo(PersistenceCapable.class)) {
                return false;
            }
            val properties = javaAnnotation.getProperties();
            val identityType = properties.get(""identityType"");
            return identityType instanceof JavaEnumConstant && identityType.toString().equals(""IdentityType.DATASTORE"");
        }
    };
}",java:S100,
"public static boolean ST_IsRectangle(Geometry geom){
    return geom.isRectangle();
}",java:S100,
"public static ArchRule every_logicalTypeName_and_jdo_discriminator_must_be_same(){
    return classes().that().areAnnotatedWith(DomainObject.class).and(new DescribedPredicate<>(""have a logicalTypeName"") {

        @Override
        public boolean test(final JavaClass javaClass) {
            return _LogicalNaming.hasExplicitLogicalName(javaClass);
        }
    }).and(new DescribedPredicate<>(""have a @Discriminator"") {

        @Override
        public boolean test(final JavaClass javaClass) {
            val discriminatorIfAny = javaClass.tryGetAnnotationOfType(Discriminator.class);
            return discriminatorIfAny.isPresent();
        }
    }).should(new ArchCondition<>(""be the same"") {

        @Override
        public void check(final JavaClass javaClass, final ConditionEvents conditionEvents) {
            val logicalTypeName = _LogicalNaming.logicalNameFor(javaClass);
            val discriminatorValue = javaClass.getAnnotationOfType(Discriminator.class).value();
            if (!Objects.equals(logicalTypeName, discriminatorValue)) {
                conditionEvents.add(new SimpleConditionEvent(javaClass, false, String.format(""@DomainObject(logicalTypeName = '%s') vs @Discriminator('%s')"", logicalTypeName, discriminatorValue)));
            }
        }
    });
}",java:S100,
"public static NewExpression new_(Type type, Expression... arguments){
    return new NewExpression(type, toList(arguments), null);
}",java:S100,
"public void setCp_Int_count(final int count){
    cp_Int_count = count;
}",java:S100,
"@Nullable
public static Geometry ST_MakePolygon(Geometry shell){
    return makePolygon(shell);
}",java:S100,
